Date,Time,Relative_time,Temperature,Frequency_0,Dissipation_0,Frequency_1,Dissipation_1,Frequency_2,Dissipation_2,Frequency_3,Dissipation_3,Frequency_4,Dissipation_4
2024-01-17,16:43:31,0.64,15.89,4992812.09,0.002819045599850846,14991546.55,0.00026588203402551553,24989022.91,5.710343971321996e-05,34972668.88,0.0001888774687092173,44965007.81,0.0003781329520555689
2024-01-17,16:43:31,1.23,15.89,4992999.67,0.0026581243769910057,14991657.07,0.0002659041287447764,24988924.24,5.536702261856208e-05,34972853.49,0.0001887958689462295,44965084.79,0.000370711356351563
2024-01-17,16:43:32,1.813,15.89,4993267.89,0.0026621953124392646,14991210.12,0.00026349269298452197,24989221.51,5.800996791545021e-05,34973353.07,0.00018473127999929842,44965117.97,0.00037451398229171047
2024-01-17,16:43:33,3.006,15.89,4992971.47,0.0027250395668978423,14990735.78,0.0002649453609532404,24989075.23,5.607980623132586e-05,34973090.11,0.00018044526845100654,44965366.01,0.0003564751945448216
2024-01-17,16:43:34,3.607,15.89,4992610.73,0.002762560067992892,14990441.24,0.00027232586337163234,24988896.43,5.856312935074497e-05,34973150.2,0.00018318968564778328,44965511.87,0.0003648627436489623
2024-01-17,16:43:34,3.607,15.89,4992610.73,0.002762560067992892,14990441.24,0.00027232586337163234,24988896.43,5.856312935074497e-05,34973150.2,0.00018318968564778328,44965511.87,0.0003648627436489623
2024-01-17,16:43:35,4.768,15.89,4992758.27,0.002618279064811508,14990239.58,0.0002792142945907197,24989377.69,5.380302638683363e-05,34973418.56,0.00017168664276149512,44965314.29,0.00035058436757957634
2024-01-17,16:43:36,5.388,15.89,4992890.71,0.0026524785045755343,14989833.24,0.0002785784684115165,24989285.19,4.885467667504768e-05,34973822.23,0.00016983718830350259,44965575.05,0.0003351849418182913
2024-01-17,16:43:36,5.388,15.89,4992890.71,0.0026524785045755343,14989833.24,0.0002785784684115165,24989285.19,4.885467667504768e-05,34973822.23,0.00016983718830350259,44965575.05,0.0003351849418182913
2024-01-17,16:43:36,5.987,15.89,4993022.07,0.0026620101869864504,14990100.18,0.0002879182807704536,24989371.39,5.151265123889065e-05,34974091.81,0.00015762326121165977,44965487.88,0.0003268934441846888
2024-01-17,16:43:37,6.654,15.89,4993329.45,0.002572274947995285,14989468.61,0.00029250642269059227,24989437.27,5.1601708982110734e-05,34974022.9,0.00016464627053441993,44965525.56,0.0003355674812494908
2024-01-17,16:43:37,6.654,15.89,4993329.45,0.002572274947995285,14989468.61,0.00029250642269059227,24989437.27,5.1601708982110734e-05,34974022.9,0.00016464627053441993,44965525.56,0.0003355674812494908
2024-01-17,16:43:37,6.654,15.89,4993329.45,0.002572274947995285,14989468.61,0.00029250642269059227,24989437.27,5.1601708982110734e-05,34974022.9,0.00016464627053441993,44965525.56,0.0003355674812494908
2024-01-17,16:43:38,7.23,15.89,4993019.27,0.0025547908667637466,14989886.9,0.00022151446952886568,24989190.0,5.403839991849257e-05,34973870.13,0.00016485043862301502,44965695.52,0.0003256170312697705
2024-01-17,16:43:38,7.23,15.89,4993019.27,0.0025547908667637466,14989886.9,0.00022151446952886568,24989190.0,5.403839991849257e-05,34973870.13,0.00016485043862301502,44965695.52,0.0003256170312697705
2024-01-17,16:43:39,8.5,15.89,4993222.1,0.002396713911656357,14990115.59,0.00022170326179009068,24989306.39,5.1731398425559583e-05,34973664.23,0.00017380885321552326,44965756.74,0.0003274027761130025
2024-01-17,16:43:39,9.094,15.89,4993512.45,0.0022758209032894116,14990423.29,0.00022333153395950287,24989326.25,4.7344818731486205e-05,34973847.85,0.00017579675974565775,44965899.91,0.0003338806797830541
2024-01-17,16:43:39,9.094,15.89,4993512.45,0.0022758209032894116,14990423.29,0.00022333153395950287,24989326.25,4.7344818731486205e-05,34973847.85,0.00017579675974565775,44965899.91,0.0003338806797830541
2024-01-17,16:43:41,10.288,15.9,4993649.11,0.002278155091024022,14990096.82,0.00023031948379704652,24988888.21,5.0781309585036406e-05,34973889.13,0.00019143772120515173,44966484.69,0.0003262282839672535
2024-01-17,16:43:42,12.122,15.9,4993954.29,0.002142237446193,14990221.52,0.0002342280773869707,24989309.51,5.204595431018606e-05,34974221.59,0.00017738894754735598,44966304.45,0.00032595046626748635
2024-01-17,16:43:43,12.711,15.9,4994137.54,0.0020761533852187456,14989753.67,0.00024272075551186927,24989299.88,4.875886487153992e-05,34974131.14,0.00017742178665356348,44966257.25,0.00033981539782768327
2024-01-17,16:43:43,12.711,15.9,4994137.54,0.0020761533852187456,14989753.67,0.00024272075551186927,24989299.88,4.875886487153992e-05,34974131.14,0.00017742178665356348,44966257.25,0.00033981539782768327
2024-01-17,16:43:45,14.56,15.9,4994454.89,0.0019913494647041934,14990185.03,0.00024063834943812107,24989622.25,4.628453564657637e-05,34973846.8,0.0001719718016392845,44965968.7,0.00035680924010220215
2024-01-17,16:43:45,14.56,15.9,4994454.89,0.0019913494647041934,14990185.03,0.00024063834943812107,24989622.25,4.628453564657637e-05,34973846.8,0.0001719718016392845,44965968.7,0.00035680924010220215
2024-01-17,16:43:47,16.366,15.9,4995007.96,0.001938668356018721,14990006.71,0.00022388214611892263,24989573.57,4.805301803481155e-05,34973635.49,0.00017131030426130377,44965709.01,0.00036123598959361225
2024-01-17,16:43:47,16.945,15.91,4994943.53,0.001960677392116999,14989720.05,0.00022455637149192004,24989518.43,4.812934207300184e-05,34973547.81,0.00018297161958753404,44966143.81,0.00035686948179806477
2024-01-17,16:43:48,17.533,15.91,4994873.67,0.0020594405023667216,14989589.24,0.00023193788055312514,24989186.15,4.312191359747763e-05,34973378.17,0.00019541376495481373,44966716.57,0.00033387837582419676
2024-01-17,16:43:48,17.533,15.91,4994873.67,0.0020594405023667216,14989589.24,0.00023193788055312514,24989186.15,4.312191359747763e-05,34973378.17,0.00019541376495481373,44966716.57,0.00033387837582419676
2024-01-17,16:43:48,18.113,15.91,4994861.19,0.0020726098467356486,14989303.95,0.00023186874387725435,24988959.21,4.318875113548278e-05,34973048.97,0.0001892834106740728,44966383.03,0.0003338187788422133
2024-01-17,16:43:49,18.664,15.91,4994614.69,0.0022190082317618833,14989639.9,0.00024108376498282728,24988935.91,4.310502719212914e-05,34973236.39,0.00018442158499465682,44966157.33,0.00033656129178067404
2024-01-17,16:43:49,18.664,15.91,4994614.69,0.0022190082317618833,14989639.9,0.00024108376498282728,24988935.91,4.310502719212914e-05,34973236.39,0.00018442158499465682,44966157.33,0.00033656129178067404
2024-01-17,16:43:50,19.254,15.91,4994726.25,0.002213650881261554,14989660.97,0.00024077814838327258,24988542.14,4.2977108088477105e-05,34973193.49,0.0001813263554209009,44965965.97,0.0003492437249422385
2024-01-17,16:43:50,19.975,15.91,4994769.75,0.0022205898449396784,14989780.88,0.00023312110697849215,24988959.68,4.541835897214889e-05,34973355.26,0.0001885259226458106,44965478.55,0.0003631367504554964
2024-01-17,16:43:51,20.658,15.91,4995223.93,0.002147986941521312,14989696.91,0.00023457473049250257,24989288.93,4.5477360289905825e-05,34973590.6,0.0001842433363434025,44965701.25,0.0003606065778165658
2024-01-17,16:43:51,20.658,15.91,4995223.93,0.002147986941521312,14989696.91,0.00023457473049250257,24989288.93,4.5477360289905825e-05,34973590.6,0.0001842433363434025,44965701.25,0.0003606065778165658
2024-01-17,16:43:53,22.883,15.91,4994944.46,0.001959865478387613,14990031.95,0.0002363008731872663,24989155.33,4.932423099518744e-05,34974232.48,0.00018088252720099694,44966139.56,0.00038667999866971004
2024-01-17,16:43:53,22.883,15.91,4994944.46,0.001959865478387613,14990031.95,0.0002363008731872663,24989155.33,4.932423099518744e-05,34974232.48,0.00018088252720099694,44966139.56,0.00038667999866971004
2024-01-17,16:43:54,23.534,15.91,4995183.82,0.002031362312072085,14989894.74,0.00024664039173229716,24988851.93,5.00776281476542e-05,34974118.03,0.00018559869930227901,44966469.57,0.00037791047725190647
2024-01-17,16:43:55,24.236,15.91,4995438.84,0.0020794547554227835,14989988.47,0.00023442025185800623,24988590.66,5.960703682951884e-05,34973778.44,0.00019173705908627505,44966543.68,0.0003772052509559118
2024-01-17,16:43:55,25.038,15.91,4995450.37,0.0019154868244389395,14989876.17,0.0002575106007691322,24988933.76,6.395524806780314e-05,34974192.45,0.0001816038368728303,44966640.88,0.00037230656437065225
