Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2024-01-19,14:42:39,0.0,21.75,4997656.45,0.0015486029616385594
2024-01-19,14:42:39,0.12,21.75,4997608.47,0.0015295925065815172
2024-01-19,14:42:39,0.22,21.75,4997750.08,0.0015188319244689385
2024-01-19,14:42:39,0.33,21.75,4997742.85,0.0014651723487932422
2024-01-19,14:42:40,0.44,21.75,4997790.69,0.0015143205770388466
2024-01-19,14:42:40,0.55,21.75,4997936.68,0.0014890386079166708
2024-01-19,14:42:40,0.66,21.75,4997960.35,0.0015059216456711024
2024-01-19,14:42:40,0.8,21.75,4997994.57,0.001517122085422635
2024-01-19,14:42:40,0.93,21.75,4998039.32,0.0014790072964336984
2024-01-19,14:42:40,1.1,21.75,4998003.53,0.0015010064499103798
2024-01-19,14:42:40,1.16,21.75,4998021.17,0.0014702884869894288
2024-01-19,14:42:40,1.32,21.75,4998018.97,0.0013948024254933189
2024-01-19,14:42:41,1.43,21.75,4997920.63,0.0013946197027621694
2024-01-19,14:42:41,1.54,21.75,4998023.56,0.00130479343316675
2024-01-19,14:42:41,1.65,21.75,4998214.37,0.001323255467924815
2024-01-19,14:42:41,1.78,21.75,4998379.56,0.0013174061839728805
2024-01-19,14:42:41,1.91,21.75,4998441.52,0.001349633873707183
2024-01-19,14:42:41,2.08,21.75,4998329.01,0.0013504055191271894
2024-01-19,14:42:41,2.15,21.75,4998327.73,0.0013300547320179144
2024-01-19,14:42:41,2.3,21.75,4998328.23,0.0013404400989492403
2024-01-19,14:42:42,2.41,21.75,4998352.75,0.0013691219396957835
2024-01-19,14:42:42,2.52,21.75,4998450.63,0.0013301042795599292
2024-01-19,14:42:42,2.63,21.75,4998517.43,0.001319396587714637
2024-01-19,14:42:42,2.76,21.75,4998868.05,0.0013025808410686273
2024-01-19,14:42:42,2.86,21.75,4999207.05,0.0012311724152391254
2024-01-19,14:42:42,2.98,21.75,4999377.09,0.0012052982692317402
2024-01-19,14:42:42,3.09,21.75,4999531.07,0.001183912703782227
2024-01-19,14:42:42,3.21,21.75,4999923.31,0.0011665303257931304
2024-01-19,14:42:42,3.33,21.75,4999771.16,0.001138118263876622
2024-01-19,14:42:43,3.46,21.75,4999740.99,0.0011628671073010154
2024-01-19,14:42:43,3.61,21.75,4999695.21,0.0011868395441515414
2024-01-19,14:42:43,3.72,21.75,4999372.3,0.001120295719710411
2024-01-19,14:42:43,3.84,21.75,4999311.67,0.0011356569880176806
2024-01-19,14:42:43,4.05,21.75,4999213.01,0.0011633830281512418
2024-01-19,14:42:43,4.09,21.75,4999225.24,0.0011629245790113726
2024-01-19,14:42:43,4.28,21.75,4999266.85,0.0011514121268676907
2024-01-19,14:42:43,4.33,21.75,4999347.55,0.0010728920197426478
2024-01-19,14:42:44,4.46,21.75,4999401.8,0.0010781956208604556
2024-01-19,14:42:44,4.62,21.75,4999327.69,0.0011086710679373327
2024-01-19,14:42:44,4.72,21.75,4999365.72,0.001086890418389779
2024-01-19,14:42:44,4.84,21.75,4999607.99,0.0010854328742057994
2024-01-19,14:42:44,4.95,21.75,4999630.21,0.0010509872497459416
2024-01-19,14:42:44,5.08,21.75,4999947.67,0.0010333677338308915
2024-01-19,14:42:44,5.2,21.75,4999998.69,0.0010249831160823088
2024-01-19,14:42:45,5.39,21.75,4999785.01,0.0010100761633986067
2024-01-19,14:42:45,5.47,21.75,4999664.49,0.0010107256229397032
2024-01-19,14:42:45,5.62,21.75,4999608.17,0.0010164979397536689
2024-01-19,14:42:45,5.73,21.75,4999638.22,0.0010563520438600085
2024-01-19,14:42:45,5.92,21.75,4999663.79,0.0011050193720757893
2024-01-19,14:42:45,6.03,21.75,4999617.43,0.0011907274852457456
2024-01-19,14:42:45,6.14,21.75,4999581.01,0.0011600681915129784
2024-01-19,14:42:45,6.25,21.75,4999462.24,0.00123873820877524
2024-01-19,14:42:45,6.36,21.75,4999337.91,0.0013479327407079974
2024-01-19,14:42:46,6.48,21.75,4999335.94,0.0013826677918321248
2024-01-19,14:42:46,6.65,21.75,4999129.73,0.001314613559966933
2024-01-19,14:42:46,6.8,21.75,4998728.67,0.0013985907070714835
2024-01-19,14:42:46,6.91,21.75,4998811.71,0.0013847166491977427
2024-01-19,14:42:46,7.02,21.75,4999153.45,0.0014124659170861975
2024-01-19,14:42:46,7.15,21.75,4999255.91,0.0014215071085826767
2024-01-19,14:42:46,7.3,21.75,4998991.41,0.0014819738361346716
2024-01-19,14:42:47,7.46,21.75,4999119.57,0.0014991850097908698
2024-01-19,14:42:47,7.57,21.75,4999454.19,0.0015104190767993013
2024-01-19,14:42:47,7.68,21.75,4999472.84,0.0014690203839423151
2024-01-19,14:42:47,7.79,21.75,4999503.97,0.0014672296324408337
2024-01-19,14:42:47,7.91,21.75,4999420.58,0.0014437987622927684
2024-01-19,14:42:47,8.04,21.75,4999048.98,0.0015094384651906318
2024-01-19,14:42:47,8.15,21.75,4999111.96,0.001474405775260446
2024-01-19,14:42:47,8.33,21.75,4999175.08,0.0015014142315571556
2024-01-19,14:42:48,8.44,21.75,4999012.53,0.0014066271012325177
2024-01-19,14:42:48,8.55,21.75,4999178.26,0.0013941240230272364
2024-01-19,14:42:48,8.66,21.75,4998990.4,0.0013767860105170825
