Date,Time,Relative_time,Temperature,Frequency_0,Dissipation_0,Frequency_1,Dissipation_1,Frequency_2,Dissipation_2,Frequency_3,Dissipation_3,Frequency_4,Dissipation_4
2024-05-15,09:27:30,0.528,22.1,4989539.32,0.0002411632112755091,14946047.54,7.677392057185595e-05,24902745.0,4.455680163393657e-05,34857721.93,3.072069183503639e-05,49999601.89,8.169519971505468e-05
2024-05-15,09:27:30,0.528,22.1,4989539.32,0.0002411632112755091,14946047.54,7.677392057185595e-05,24902745.0,4.455680163393657e-05,34857721.93,3.072069183503639e-05,49999601.89,8.169519971505468e-05
2024-05-15,09:27:31,1.119,22.1,4989539.25,0.00024117390288079396,14946047.61,7.676856743828911e-05,24902744.83,4.4557337253280824e-05,34857721.9,3.072795959158269e-05,49999603.17,8.16631991972712e-05
2024-05-15,09:27:31,1.119,22.1,4989539.25,0.00024117390288079396,14946047.61,7.676856743828911e-05,24902744.83,4.4557337253280824e-05,34857721.9,3.072795959158269e-05,49999603.17,8.16631991972712e-05
2024-05-15,09:27:31,1.119,22.1,4989539.25,0.00024117390288079396,14946047.61,7.676856743828911e-05,24902744.83,4.4557337253280824e-05,34857721.9,3.072795959158269e-05,49999603.17,8.16631991972712e-05
2024-05-15,09:27:31,1.695,22.1,4989539.28,0.0002412006286709356,14946047.65,7.676410684751953e-05,24902744.89,4.455519553933625e-05,34857721.84,3.07317847172814e-05,49999622.72,8.278527045742379e-05
2024-05-15,09:27:33,2.894,22.11,4989539.24,0.0002411845931814243,14946047.81,7.67703505027335e-05,24902744.62,4.457232938462447e-05,34857722.05,3.072528178555125e-05,49999615.37,8.15980160294712e-05
2024-05-15,09:27:33,3.488,22.11,4989539.17,0.00024121666479563455,14946047.81,7.6772134663763e-05,24902744.61,4.456162083485404e-05,34857722.09,3.072795933696713e-05,49999615.64,8.157108105208411e-05
2024-05-15,09:27:33,3.488,22.11,4989539.17,0.00024121666479563455,14946047.81,7.6772134663763e-05,24902744.61,4.456162083485404e-05,34857722.09,3.072795933696713e-05,49999615.64,8.157108105208411e-05
2024-05-15,09:27:35,5.243,22.11,4989539.42,0.00024110976326749433,14946047.89,7.679354483480886e-05,24902744.73,4.453431438099897e-05,34857722.4,3.071686643612221e-05,49999808.13,7.961328215865675e-05
2024-05-15,09:27:35,5.243,22.11,4989539.42,0.00024110976326749433,14946047.89,7.679354483480886e-05,24902744.73,4.453431438099897e-05,34857722.4,3.071686643612221e-05,49999808.13,7.961328215865675e-05
2024-05-15,09:27:35,5.243,22.11,4989539.42,0.00024110976326749433,14946047.89,7.679354483480886e-05,24902744.73,4.453431438099897e-05,34857722.4,3.071686643612221e-05,49999808.13,7.961328215865675e-05
2024-05-15,09:27:36,5.823,22.11,4989539.42,0.00024111510777512224,14946047.93,7.679978934660309e-05,24902744.63,4.454716478663738e-05,34857722.53,3.0718396477526435e-05,49999802.21,8.127539996963698e-05
2024-05-15,09:27:36,5.823,22.11,4989539.42,0.00024111510777512224,14946047.93,7.679978934660309e-05,24902744.63,4.454716478663738e-05,34857722.53,3.0718396477526435e-05,49999802.21,8.127539996963698e-05
2024-05-15,09:27:36,6.421,22.11,4989539.5,0.00024109640067608896,14946047.95,7.680424976606854e-05,24902744.51,4.455091278277227e-05,34857722.24,3.07271942367518e-05,49999782.33,7.447759227056938e-05
2024-05-15,09:27:39,9.341,22.11,4989539.59,0.0002410616535576747,14946048.06,7.68310121453405e-05,24902744.82,4.452414149464824e-05,34857722.28,3.080905066445963e-05,49999533.89,8.042245567895638e-05
2024-05-15,09:27:40,10.528,22.11,4989539.55,0.00024107501646238746,14946048.1,7.683993291539161e-05,24902744.9,4.451343302855691e-05,34857722.43,3.0870634425397146e-05,49999794.99,6.787772238043397e-05
2024-05-15,09:27:40,10.528,22.11,4989539.55,0.00024107501646238746,14946048.1,7.683993291539161e-05,24902744.9,4.451343302855691e-05,34857722.43,3.0870634425397146e-05,49999794.99,6.787772238043397e-05
2024-05-15,09:27:41,11.117,22.11,4989539.39,0.00024113381226216653,14946048.13,7.68470695244729e-05,24902745.01,4.4486126575755317e-05,34857722.47,3.0875224518840394e-05,49999781.24,6.737425258741029e-05
2024-05-15,09:27:41,11.117,22.11,4989539.39,0.00024113381226216653,14946048.13,7.68470695244729e-05,24902745.01,4.4486126575755317e-05,34857722.47,3.0875224518840394e-05,49999781.24,6.737425258741029e-05
2024-05-15,09:27:41,11.117,22.11,4989539.39,0.00024113381226216653,14946048.13,7.68470695244729e-05,24902745.01,4.4486126575755317e-05,34857722.47,3.0875224518840394e-05,49999781.24,6.737425258741029e-05
2024-05-15,09:27:42,11.726,22.11,4989539.34,0.00024119527936672754,14946048.12,7.685331413934807e-05,24902745.1,4.448184318676026e-05,34857722.03,3.091424044204527e-05,49999787.52,6.736625202529106e-05
2024-05-15,09:27:42,11.726,22.11,4989539.34,0.00024119527936672754,14946048.12,7.685331413934807e-05,24902745.1,4.448184318676026e-05,34857722.03,3.091424044204527e-05,49999787.52,6.736625202529106e-05
2024-05-15,09:27:42,12.318,22.12,4989539.31,0.00024119528000941416,14946048.09,7.684528546741963e-05,24902745.17,4.4479165855836584e-05,34857722.11,3.090582521097524e-05,49999795.41,6.749505125206535e-05
2024-05-15,09:27:43,12.925,22.12,4989539.28,0.00024121666033325367,14946048.13,7.68542064091927e-05,24902745.19,4.4474882646218424e-05,34857722.09,3.0908885287210594e-05,49999810.36,6.884622997065966e-05
2024-05-15,09:27:43,12.925,22.12,4989539.28,0.00024121666033325367,14946048.13,7.68542064091927e-05,24902745.19,4.4474882646218424e-05,34857722.09,3.0908885287210594e-05,49999810.36,6.884622997065966e-05
2024-05-15,09:27:45,15.275,22.12,4989539.05,0.0002412701135684599,14946048.2,7.687026378850416e-05,24902745.15,4.448987437133555e-05,34857722.28,3.090467748297718e-05,49999715.19,5.922049593920369e-05
2024-05-15,09:27:45,15.275,22.12,4989539.05,0.0002412701135684599,14946048.2,7.687026378850416e-05,24902745.15,4.448987437133555e-05,34857722.28,3.090467748297718e-05,49999715.19,5.922049593920369e-05
2024-05-15,09:27:46,16.453,22.12,4989539.01,0.0002413021842256042,14946048.26,7.688186067964946e-05,24902745.11,4.4485590981329946e-05,34857722.35,3.090926771663836e-05,49999336.62,5.2849181214816646e-05
2024-05-15,09:27:47,17.043,22.12,4989539.01,0.00024131554583530266,14946048.12,7.687650908668622e-05,24902745.05,4.4490409894057426e-05,34857722.07,3.090926783787231e-05,49999419.39,4.964017783900091e-05
2024-05-15,09:27:47,17.043,22.12,4989539.01,0.00024131554583530266,14946048.12,7.687650908668622e-05,24902745.05,4.4490409894057426e-05,34857722.07,3.090926783787231e-05,49999419.39,4.964017783900091e-05
2024-05-15,09:27:48,18.275,22.12,4989538.97,0.000241334253897829,14946048.12,7.688096930070594e-05,24902745.05,4.448987447778345e-05,34857722.03,3.091959568266984e-05,49999104.85,4.905830817127121e-05
2024-05-15,09:27:48,18.275,22.12,4989538.97,0.000241334253897829,14946048.12,7.688096930070594e-05,24902745.05,4.448987447778345e-05,34857722.03,3.091959568266984e-05,49999104.85,4.905830817127121e-05
2024-05-15,09:27:49,19.474,22.12,4989538.89,0.00024138770456282502,14946048.2,7.688275315261207e-05,24902745.03,4.448933910859511e-05,34857721.77,3.09283933697123e-05,49999097.16,4.584027077184795e-05
2024-05-15,09:27:49,19.474,22.12,4989538.89,0.00024138770456282502,14946048.2,7.688275315261207e-05,24902745.03,4.448933910859511e-05,34857721.77,3.09283933697123e-05,49999097.16,4.584027077184795e-05
2024-05-15,09:27:50,20.08,22.12,4989538.79,0.00024143581264236008,14946048.23,7.689970269707567e-05,24902744.97,4.449790580398113e-05,34857721.81,3.0929158415269165e-05,49999097.71,4.573893669273819e-05
2024-05-15,09:27:50,20.08,22.12,4989538.79,0.00024143581264236008,14946048.23,7.689970269707567e-05,24902744.97,4.449790580398113e-05,34857721.81,3.0929158415269165e-05,49999097.71,4.573893669273819e-05
2024-05-15,09:27:51,21.271,22.13,4989538.83,0.0002413796890830036,14946048.26,7.691397618956363e-05,24902745.18,4.4487732550126004e-05,34857722.05,3.092495059468545e-05,49998660.62,6.03385786918831e-05
2024-05-15,09:27:51,21.271,22.13,4989538.83,0.0002413796890830036,14946048.26,7.691397618956363e-05,24902745.18,4.4487732550126004e-05,34857722.05,3.092495059468545e-05,49998660.62,6.03385786918831e-05
